Country,Area Type,Area Name,Measure,Age Min,Age Max,Percentage,Total
England,Ward,Meole,Females,,,0.517,
England,Ward,Meole,Males,,,0.483,
England,Ward,Meole,AgeRange,0,4,0.051,
England,Ward,Meole,AgeRange,5,19,0.193,
England,Ward,Meole,AgeRange,20,64,0.535,
England,Ward,Meole,AgeRange,65,84,0.181,
England,Ward,Meole,AgeRange,85,100,0.04,
England,Ward,Monkmoor,Population,,,,4451
England,Ward,Monkmoor,Females,,,0.52,
England,Ward,Monkmoor,Males,,,0.48,
England,Ward,Monkmoor,AgeRange,0,4,0.054,
England,Ward,Monkmoor,AgeRange,5,19,0.183,
England,Ward,Monkmoor,AgeRange,20,64,0.545,
England,Ward,Monkmoor,AgeRange,65,84,0.188,
England,Ward,Monkmoor,AgeRange,85,100,0.03,
England,Ward,Porthill,Population,,,,4699
England,Ward,Porthill,Females,,,0.478,
England,Ward,Porthill,Males,,,0.522,
England,Ward,Porthill,AgeRange,0,4,0.046,
England,Ward,Porthill,AgeRange,5,19,0.249,
England,Ward,Porthill,AgeRange,20,64,0.516,
England,Ward,Porthill,AgeRange,65,84,0.152,
England,Ward,Porthill,AgeRange,85,100,0.036,
England,Ward,Quarry and Coton Hill,Population,,,,4537
England,Ward,Quarry and Coton Hill,Females,,,0.469,
England,Ward,Quarry and Coton Hill,Males,,,0.531,
England,Ward,Quarry and Coton Hill,AgeRange,0,4,0.046,
England,Ward,Quarry and Coton Hill,AgeRange,5,19,0.112,
England,Ward,Quarry and Coton Hill,AgeRange,20,64,0.658,
England,Ward,Quarry and Coton Hill,AgeRange,65,84,0.148,
England,Ward,Quarry and Coton Hill,AgeRange,85,100,0.036,
England,Ward,Radbrook,Population,,,,4148
England,Ward,Radbrook,Females,,,0.525,
England,Ward,Radbrook,Males,,,0.475,
England,Ward,Radbrook,AgeRange,0,4,0.045,
England,Ward,Radbrook,AgeRange,5,19,0.162,
England,Ward,Radbrook,AgeRange,20,64,0.572,
England,Ward,Radbrook,AgeRange,65,84,0.183,
England,Ward,Radbrook,AgeRange,85,100,0.038,
England,Ward,Sundorne,Population,,,,4025
England,Ward,Sundorne,Females,,,0.508,
England,Ward,Sundorne,Males,,,0.492,
England,Ward,Sundorne,AgeRange,0,4,0.072,
England,Ward,Sundorne,AgeRange,5,19,0.198,
England,Ward,Sundorne,AgeRange,20,64,0.571,
England,Ward,Sundorne,AgeRange,65,84,0.141,
England,Ward,Sundorne,AgeRange,85,100,0.018,
England,Ward,Sutton and Reabrook,Population,,,,4393
England,Ward,Sutton and Reabrook,Females,,,0.508,
England,Ward,Sutton and Reabrook,Males,,,0.492,
England,Ward,Sutton and Reabrook,AgeRange,0,4,0.056,
England,Ward,Sutton and Reabrook,AgeRange,5,19,0.172,
England,Ward,Sutton and Reabrook,AgeRange,20,64,0.58,
England,Ward,Sutton and Reabrook,AgeRange,65,84,0.163,
England,Ward,Sutton and Reabrook,AgeRange,85,100,0.03,
England,Ward,Underdale,Population,,,,4456
England,Ward,Underdale,Females,,,0.518,
England,Ward,Underdale,Males,,,0.482,
England,Ward,Underdale,AgeRange,0,4,0.066,
England,Ward,Underdale,AgeRange,5,19,0.204,
England,Ward,Underdale,AgeRange,20,64,0.582,
England,Ward,Underdale,AgeRange,65,84,0.136,
England,Ward,Underdale,AgeRange,85,100,0.012,
